Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1997,1,19,New York Rangers,Stefan Cherneski,CA,,,,Brandon,WHL,,,,,,,
1998,1,19,Colorado Avalanche,Robyn Regehr\regehro01,BR,D,18,2015,Kamloops,WHL,x,1089,36,163,199,30,972
1999,1,19,Phoenix Coyotes,Kirill Safronov\safroki01,SU,D,18,2003,St. Petersburg,KHL,x,35,2,2,4,-15,16
2000,1,19,Phoenix Coyotes,Krys Kolanos\kolankr01,CA,C,19,2012,Boston College,H-East,x,149,20,22,42,0,94
2001,1,19,Boston Bruins,Shaone Morrisonn\morrish01,CA,D,18,2011,Kamloops,WHL,x,480,11,64,75,34,455
2002,1,19,Phoenix Coyotes,Jakub Koreis,CZ,C,18,,Plzen,Czech,,,,,,,
2003,1,19,Anaheim Ducks,Ryan Getzlaf\getzlry01,CA,C,18,2020,Calgary,WHL,x,1053,274,691,965,130,888
2004,1,19,New York Rangers,Lauri Korpikoski\korpila01,FI,LW,18,2017,TPS Turku Jr.,Finland-Jr.,x,609,86,115,201,-49,132
2005,1,19,Detroit Red Wings,Jakub Kindl\kindlja01,CS,D,18,2017,Kitchener,OHL,x,331,16,58,74,14,181
1993,1,20,Vancouver Canucks,Mike Wilson\wilsomi02,CA,D,18,2003,Sudbury,OHL,x,336,16,41,57,43,264
1994,1,20,Dallas Stars,Jason Botterill\botteja01,CA,LW,18,2004,Michigan,CCHA,x,88,5,9,14,-16,89
1995,1,20,Calgary Flames,Denis Gauthier\gauthde01,CA,D,18,2009,Drummondville,QMJHL,x,554,17,60,77,-5,748
1996,1,20,Florida Panthers,Marcus Nilson\nilsoma01,SE,LW,18,2008,Djurgarden,Sweden,x,521,67,101,168,5,270
1997,1,20,Florida Panthers,Mike Brown\brownmi01,CA,LW,18,2006,Red Deer,WHL,x,34,1,2,3,1,130
1998,1,20,Colorado Avalanche,Scott Parker\parkesc01,US,RW,20,2008,Kelowna,WHL,x,308,7,14,21,4,699
1999,1,20,Buffalo Sabres,Barrett Heisten\heistba01,US,LW,19,2002,U. of Maine,H-East,x,10,0,0,0,-4,2
2000,1,20,Los Angeles Kings,Alex Frolov\froloal01,SU,LW,18,2011,Lokomotiv Yaroslavl 2,Russia-3,x,579,175,222,397,27,218
2001,1,20,San Jose Sharks,Marcel Goc\gocma01,DE,C,18,2015,Schwenningen,Germany,x,636,75,113,188,-21,157
2002,1,20,Buffalo Sabres,Daniel Paille\paillda01,CA,LW,18,2016,Guelph,OHL,x,582,85,87,172,15,135
2003,1,20,Minnesota Wild,Brent Burns\burnsbr01,CA,D,18,2020,Brampton,OHL,x,1113,210,484,694,-7,685
2004,1,20,New Jersey Devils,Travis Zajac\zajactr01,CA,C,19,2020,Salmon Arm,BCHL,x,991,195,337,532,-19,338
2005,1,20,Florida Panthers,Kenndal McArdle\mcardke01,CA,LW,18,2012,Moose Jaw,WHL,x,42,1,2,3,-11,51
1993,1,21,Montreal Canadiens,Saku Koivu\koivusa01,FI,C,18,2014,TPS Turku,Finland,x,1124,255,577,832,10,809
1994,1,21,Boston Bruins,Evgeni Ryabchikov,RU,,,,Molot-Perm,Russia,,,,,,,
1995,1,21,Boston Bruins,Sean Brown\brownse01,CA,D,18,2006,Belleville,OHL,x,436,14,43,57,-9,907
1996,1,21,San Jose Sharks,Marco Sturm\sturmma01,DE,LW,18,2012,Landshut,Germany,x,938,242,245,487,59,446
1997,1,21,Buffalo Sabres,Mika Noronen\noronmi01,FI,G,18,2006,Tappara Tampere,Finland,x,71,1,0,1,0,4
1998,1,21,Los Angeles Kings,Mathieu Biron\bironma02,CA,D,18,2006,Shawinigan,QMJHL,x,253,12,32,44,-69,177
1999,1,21,Boston Bruins,Nick Boynton\boyntni01,CA,D,20,2011,Ottawa,OHL,x,605,34,110,144,19,862
2000,1,21,Ottawa Senators,Anton Volchenkov\volchan01,SU,D,18,2015,HK Moscow,KHL,x,696,19,114,133,73,438
2001,1,21,Pittsburgh Penguins,Colby Armstrong\armstco01,CA,RW,18,2013,Red Deer,WHL,x,476,89,120,209,24,376
2002,1,21,Chicago Blackhawks,Anton Babchuk\babchan01,SU,D,18,2013,Elektrostal,Russia-2,x,289,36,71,107,14,108
2003,1,21,Boston Bruins,Mark Stuart\stuarma01,US,D,19,2017,Colorado College,WCHA,x,673,26,67,93,43,722
2004,1,21,Colorado Avalanche,Wojtek Wolski\wolskwo01,PL,LW,18,2013,Brampton,OHL,x,451,99,168,267,17,113
2005,1,21,Toronto Maple Leafs,Tuukka Rask\rasktu01,FI,G,18,2020,Ilves Tampere Jr.,Finland-Jr.,x,536,0,15,15,0,24
1993,1,22,Detroit Red Wings,Anders Eriksson\eriksan01,SE,D,18,2010,MoDo Ornskoldsvik,Sweden,x,572,22,154,176,43,242
1994,1,22,Quebec Nordiques,Jeffrey Kealty,US,,,,Catholic Memorial,High-MA,,,,,,,
1995,1,22,Philadelphia Flyers,Brian Boucher\bouchbr01,US,G,18,2013,Tri-City,WHL,x,328,0,3,3,0,18
1996,1,22,New York Rangers,Jeff Brown,CA,,,,Sarnia,OHL,,,,,,,
1997,1,22,Carolina Hurricanes,Nikos Tselios\tselini01,US,D,18,2002,Belleville,OHL,x,2,0,0,0,-2,6
1998,1,22,Philadelphia Flyers,Simon Gagne\gagnesi01,CA,LW,18,2015,Quebec,QMJHL,x,822,291,310,601,129,328
1999,1,22,Philadelphia Flyers,Maxime Ouellet\ouellma01,CA,G,18,2006,Quebec,QMJHL,x,12,0,1,1,0,2
2000,1,22,New Jersey Devils,David Hale\haleda01,US,D,19,2011,Sioux City,USHL,x,327,4,25,29,11,242
2001,1,22,Buffalo Sabres,Jiri Novotny\novotji01,CS,C,18,2009,Ceske Budejovice,Czech-2,x,189,20,31,51,-15,66
2002,1,22,New York Islanders,Sean Bergenheim\bergese01,FI,LW,18,2015,Jokerit Helsinki,KHL,x,506,96,84,180,-42,379
2003,1,22,Edmonton Oilers,Marc Pouliot\poulima01,CA,C,18,2012,Rimouski,QMJHL,x,192,21,36,57,-9,76
2004,1,22,San Jose Sharks,Lukas Kaspar\kaspalu01,CS,RW,18,2009,Chemopetrol Litvinov,Russia,x,16,2,2,4,-2,8
2005,1,22,Boston Bruins,Matt Lashoff\lashoma01,US,D,18,2011,Kitchener,OHL,x,74,1,15,16,-15,59
1993,1,23,New York Islanders,Todd Bertuzzi\bertuto01,CA,RW,18,2014,Guelph,OHL,x,1159,314,456,770,-44,1478
1994,1,23,Detroit Red Wings,Yan Golubovsky\golubya01,SU,D,18,2001,Dynamo-2 Moscow,Russia,x,56,1,7,8,11,32
1995,1,23,Washington Capitals,Miika Elomo\elomomi01,FI,LW,18,2000,Kiekko-67 Turku FIN,Finland-Jr.,x,2,0,1,1,1,2
1996,1,23,Pittsburgh Penguins,Craig Hillier,CA,,,,Ottawa,OHL,,,,,,,
1997,1,23,San Jose Sharks,Scott Hannan\hannasc01,CA,D,18,2015,Kelowna,WHL,x,1055,38,179,217,2,625
1998,1,23,Pittsburgh Penguins,Milan Kraft\kraftmi01,CS,C,18,2004,Keramika Plzen Jr.,Czech-Jr.,x,207,41,41,82,-45,52
1999,1,23,Chicago Blackhawks,Steve McCarthy\mccarst01,CA,D,18,2008,Kootenay,WHL,x,302,17,38,55,-34,168
2000,1,23,Vancouver Canucks,Nathan Smith\smithna02,CA,C,18,2010,Swift Current,WHL,x,26,0,0,0,-5,14
2001,1,23,Ottawa Senators,Tim Gleason\gleasti01,US,D,18,2015,Windsor,OHL,x,727,17,125,142,-37,701
2002,1,23,Phoenix Coyotes,Ben Eager\eagerbe01,CA,LW,18,2014,Oshawa,OHL,x,407,43,42,85,-12,875
2003,1,23,Vancouver Canucks,Ryan Kesler\keslery01,US,C,19,2019,Ohio State,CCHA,x,1001,258,315,573,10,920
2004,1,23,Ottawa Senators,Andrej Meszaros\meszaan01,CS,D,18,2015,Dukla Trencin,Slovakia,x,645,63,175,238,25,457
2005,1,23,New Jersey Devils,Niclas Bergfors\bergfni01,SE,RW,18,2012,Sodertalje,Sweden-2,x,173,35,48,83,-23,20
1993,1,24,Chicago Blackhawks,Eric Lecompte,CA,,,,Hull,QMJHL,,,,,,,
1994,1,24,Pittsburgh Penguins,Chris Wells\wellsch01,CA,C,18,2000,Seattle,WHL,x,195,9,20,29,-6,193
1995,1,24,Pittsburgh Penguins,Aleksey Morozov\morozal01,SU,RW,18,2004,Krylja Sovetov,Russia,x,451,84,135,219,-29,98
1996,1,24,Phoenix Coyotes,Daniel Briere\brierda01,CA,C,18,2015,Drummondville,QMJHL,x,973,307,389,696,-24,744
1997,1,24,New Jersey Devils,Jean-Francois Damphousse\damphje01,CA,G,18,2002,Moncton,QMJHL,x,6,0,0,0,0,0
1998,1,24,St. Louis Blues,Christian Backman\backmch01,SE,D,18,2009,Vastra Frolunda Jr.,Sweden-Jr.,x,302,23,56,79,1,182
1999,1,24,Toronto Maple Leafs,Luca Cereda,CH,,,,Ambri-Piotta,Swiss,,,,,,,
2000,1,24,Toronto Maple Leafs,Brad Boyes\boyesbr01,CA,RW,18,2016,Erie,OHL,x,822,211,294,505,-18,251
2001,1,24,Florida Panthers,Lukas Krajicek\krajilu01,CS,D,18,2010,Peterborough,OHL,x,328,11,61,72,-30,245
2002,1,24,Toronto Maple Leafs,Alex Steen\steenal01,CA,C,18,2020,Vastra Frolunda,Sweden,x,1018,245,377,622,42,454
2003,1,24,Philadelphia Flyers,Mike Richards\richami02,CA,C,18,2016,Kitchener,OHL,x,749,181,306,487,16,585
2004,1,24,Calgary Flames,Kris Chucko\chuckkr01,CA,LW,18,2009,Salmon Arm,BCHL,x,2,0,0,0,0,2
2005,1,24,St. Louis Blues,T.J. Oshie\oshietj01,US,C,18,2020,Warroad,High-MN,x,803,238,329,567,126,402
1993,1,25,Boston Bruins,Kevyn Adams\adamske01,US,C,18,2008,Miami (Ohio),CCHA,x,540,59,77,136,-38,317
1994,1,25,New Jersey Devils,Vadim Sharifijanov\shariva01,SU,LW,18,2000,Salavat Yulayev Ufa,KHL,x,92,16,21,37,-2,50
1995,1,25,Colorado Avalanche,Marc Denis\denisma01,CA,G,18,2009,Chicoutimi,QMJHL,x,349,0,6,6,0,32
1996,1,25,Colorado Avalanche,Peter Ratchuk\ratchpe01,US,D,19,2001,Shattuck-St. Mary's,High-MN,x,32,1,1,2,-2,10
