Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2000,1,11,Chicago Blackhawks,Pavel Vorobiev\vorobpa01,SU,RW,18,2006,Torpedo Yaroslavl 2,Russia-2,x,57,10,15,25,-1,38
2001,1,11,Phoenix Coyotes,Fredrik Sjostrom\sjostfr01,SE,RW,18,2011,Vastra Frolunda,Sweden,x,489,46,58,104,-37,190
2002,1,11,Buffalo Sabres,Keith Ballard\ballake01,US,D,19,2015,Minnesota,WCHA,x,604,38,137,175,-13,612
2003,1,11,Philadelphia Flyers,Jeff Carter\carteje01,CA,C,18,2020,Sault Ste. Marie,OHL,x,1040,382,350,732,37,533
2004,1,11,Los Angeles Kings,Lauri Tukonen\tukonla01,FI,RW,18,2008,Blues Espoo,Finland,x,5,0,0,0,-2,0
2005,1,11,Los Angeles Kings,Anze Kopitar\kopitan01,SI,C,18,2020,Sodertalje Jr.,Sweden-Jr.,x,1073,333,617,950,76,294
1993,1,12,Toronto Maple Leafs,Kenny Jonsson\jonsske01,SE,D,18,2004,Rogle Angelholm,Sweden,x,686,63,204,267,-16,298
1994,1,12,Quebec Nordiques,Wade Belak\belakwa01,CA,RW,18,2011,Saskatoon,WHL,x,549,8,25,33,-38,1263
1995,1,12,San Jose Sharks,Teemu Riihijarvi,FI,,,,Kiekko-Espoo,Finland,,,,,,,
1996,1,12,Vancouver Canucks,Josh Holden\holdejo01,CA,C,18,2004,Regina,WHL,x,60,5,9,14,-10,16
1997,1,12,Ottawa Senators,Marian Hossa\hossama01,CS,RW,18,2017,Dukla Trencin,Slovakia,x,1309,525,609,1134,245,628
1998,1,12,Colorado Avalanche,Alex Tanguay\tangual01,CA,LW,18,2016,Halifax,QMJHL,x,1088,283,580,863,163,527
1999,1,12,Florida Panthers,Denis Shvidki\shvidde01,SU,RW,18,2004,Barrie,OHL,x,76,11,14,25,-5,30
2000,1,12,Anaheim Ducks,Alexei Smirnov\smirnal01,SU,LW,18,2004,Tver,Russia-2,x,52,3,3,6,-1,20
2001,1,12,Nashville Predators,Dan Hamhuis\hamhuda01,CA,D,18,2020,Prince George,WHL,x,1148,59,297,356,72,684
2002,1,12,Washington Capitals,Steve Eminger\emingst01,CA,D,18,2013,Kitchener,OHL,x,488,19,80,99,-42,359
2003,1,12,New York Rangers,Hugh Jessiman\jessihu01,US,RW,19,2011,Dartmouth,ECAC,x,2,0,0,0,-1,5
2004,1,12,Minnesota Wild,A.J. Thelen,US,D,18,,Michigan State,CCHA,,,,,,,
2005,1,12,New York Rangers,Marc Staal\staalma01,CA,D,18,2020,Sudbury,OHL,x,892,43,145,188,46,432
1993,1,13,New Jersey Devils,Denis Pederson\pederde01,CA,C,18,2003,Prince Albert,WHL,x,435,57,71,128,-18,398
1994,1,13,Vancouver Canucks,Mattias Ohlund\ohlunma01,SE,D,18,2011,Pitea,Sweden,x,909,93,250,343,-6,885
1995,1,13,Hartford Whalers,Jean-Sebastien Giguere\gigueje01,CA,G,18,2014,Halifax,QMJHL,x,597,0,7,7,0,98
1996,1,13,Calgary Flames,Derek Morris\morride01,CA,D,18,2014,Regina,WHL,x,1107,92,332,424,-44,1004
1997,1,13,Chicago Blackhawks,Dan Cleary\clearda01,CA,RW,18,2015,Belleville,OHL,x,938,165,222,387,6,492
1998,1,13,Edmonton Oilers,Michael Henrich,CA,,,,Barrie,OHL,,,,,,,
1999,1,13,Edmonton Oilers,Jani Rita\ritaja01,FI,LW,18,2006,Jokerit Helsinki,KHL,x,66,9,5,14,-4,10
2000,1,13,Montreal Canadiens,Ron Hainsey\hainsro01,US,D,19,2020,U. Mass-Lowell,H-East,x,1132,59,252,311,-21,443
2001,1,13,Edmonton Oilers,Ales Hemsky\hemskal01,CS,RW,18,2018,Hull,QMJHL,x,845,174,398,572,-53,353
2002,1,13,Washington Capitals,Alexander Semin\seminal01,SU,LW,18,2016,Chelyabinsk,Russia-2,x,650,239,278,517,71,582
2003,1,13,Los Angeles Kings,Dustin Brown\browndu01,US,RW,18,2020,Guelph,OHL,x,1183,299,354,653,-30,700
2004,1,13,Buffalo Sabres,Drew Stafford\staffdr01,US,RW,18,2019,North Dakota,WCHA,x,841,196,232,428,-58,415
2005,1,13,Buffalo Sabres,Marek Zagrapan,SK,C,18,,Chicoutimi,QMJHL,,,,,,,
1993,1,14,Quebec Nordiques,Adam Deadmarsh\deadmad01,CA,RW,18,2003,Portland,WHL,x,567,184,189,373,43,819
1994,1,14,Chicago Blackhawks,Ethan Moreau\moreaet01,CA,LW,18,2012,Niagara Falls,OHL,x,928,147,140,287,-15,1110
1995,1,14,Buffalo Sabres,Jay McKee\mckeeja01,CA,D,18,2010,Niagara Falls,OHL,x,802,21,104,125,55,622
1996,1,14,St. Louis Blues,Marty Reasoner\reasoma01,US,C,19,2013,Boston College,H-East,x,798,97,169,266,-34,379
1997,1,14,Edmonton Oilers,Michel Riesen\riesemi01,CH,RW,18,2001,Biel-Bienne,Swiss,x,12,0,1,1,2,4
1998,1,14,Phoenix Coyotes,Patrick DesRochers\desropa01,CA,G,18,2003,Sarnia,OHL,x,11,0,0,0,0,2
1999,1,14,San Jose Sharks,Jeff Jillson\jillsje01,US,D,19,2006,Michigan,CCHA,x,140,9,32,41,-9,96
2000,1,14,Colorado Avalanche,Vaclav Nedorost\nedorva01,CS,C,18,2004,Ceske Budejovice,Czech-2,x,99,10,10,20,-2,34
2001,1,14,Calgary Flames,Chuck Kobasew\kobasch01,CA,RW,19,2014,Boston College,H-East,x,601,110,100,210,-33,394
2002,1,14,Montreal Canadiens,Chris Higgins\higgich01,US,LW,19,2016,Yale,ECAC,x,711,165,168,333,-30,220
2003,1,14,Chicago Blackhawks,Brent Seabrook\seabrbr01,CA,D,18,2020,Lethbridge,WHL,x,1114,103,361,464,111,661
2004,1,14,Edmonton Oilers,Devan Dubnyk\dubnyde01,CA,G,18,2020,Kamloops,WHL,x,520,0,8,8,0,44
2005,1,14,Washington Capitals,Sasha Pokulok,CA,D,19,,Cornell,ECAC,,,,,,,
1993,1,15,Winnipeg Jets,Mats Lindgren\lindgma01,SE,C,18,2003,Skelleftea,Sweden,x,387,54,74,128,1,146
