Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2009,1,19,New York Rangers,Chris Kreider\kreidch01,US,LW,18,2020,Andover,High-MA,x,523,157,159,316,68,441
2010,1,19,Florida Panthers,Nick Bjugstad\bjugsni01,US,C,18,2020,Blaine,High-MN,x,439,97,110,207,-42,198
2006,1,20,Montreal Canadiens,David Fischer,US,D,18,,Apple Valley,High-MN,,,,,,,
2007,1,20,Pittsburgh Penguins,Angelo Esposito,CA,C,18,,Quebec,QMJHL,,,,,,,
2008,1,20,New York Rangers,Michael Del Zotto\delzomi01,CA,D,18,2020,Oshawa,OHL,x,657,56,180,236,-31,272
2009,1,20,New Jersey Devils,Jacob Josefson\josefja01,SE,C,18,2018,Djurgarden,Sweden,x,315,20,44,64,-21,84
2010,1,20,Pittsburgh Penguins,Beau Bennett\bennebe01,US,RW,18,2018,Penticton,BCHL,x,200,24,40,64,-2,52
2006,1,21,New York Rangers,Bobby Sanguinetti\sangubo01,US,D,18,2013,Owen Sound,OHL,x,45,2,4,6,-6,8
2007,1,21,Edmonton Oilers,Riley Nash\nashri02,CA,C,18,2020,Salmon Arm,BCHL,x,541,61,104,165,-5,130
2008,1,21,Washington Capitals,Anton Gustafsson,SE,C,18,,Vastra Frolunda Jr.,,,,,,,,
2009,1,21,Columbus Blue Jackets,John Moore\moorejo01,US,D,18,2020,Chicago Steel,USHL,x,532,38,77,115,-34,221
2010,1,21,Detroit Red Wings,Riley Sheahan\sheahri01,CA,C,18,2020,Notre Dame,CCHA,x,513,66,98,164,-50,83
2006,1,22,Philadelphia Flyers,Claude Giroux\giroucl01,CA,C,18,2020,Gatineau,QMJHL,x,889,257,558,815,43,380
2007,1,22,Montreal Canadiens,Max Pacioretty\pacioma01,US,LW,18,2020,Sioux City,USHL,x,763,280,274,554,41,419
